strategy,trades,mean_trade_return,compounded_return,max_drawdown,simulations,p_equity_below_50pct,p_equity_below_25pct,p_equity_below_10pct,p_final_loss,median_final_equity,p05_final_equity,median_max_drawdown,p95_max_drawdown
extreme_bull_tiered,123,0.005816318626043119,0.9734025540793658,0.13027833478485398,5000,0.0002,0.0,0.0,0.0606,1.5848012383546088,0.9771941311933716,0.16358775336807047,0.3098470969470124
extreme_bull_fixed_30,123,0.005737779006314567,0.9540687968446231,0.1387991444403933,5000,0.0014,0.0002,0.0,0.0614,1.5525710984191279,0.9685473795728977,0.16443244387004924,0.3167265581550484
extreme_bull_fixed_20,123,0.0055408874092911205,0.914074316266198,0.13311860467003384,5000,0.0002,0.0,0.0,0.0728,1.5263599470358393,0.9426264429924814,0.1665071684704458,0.31645036073737914
extreme_bull_fixed_10,123,0.005343995812267674,0.8733867588945825,0.12743806489967419,5000,0.0,0.0,0.0,0.0692,1.4968397998818155,0.9598431254611055,0.16487897093397974,0.30820557560513934
stock_only,123,0.005147104215244226,0.8320061247297763,0.121757525129315,5000,0.0002,0.0,0.0,0.0746,1.4676479505657376,0.9441343446268093,0.16492044587025367,0.31831236776961946
