signal_time,symbol,deposit,starting_equity,stock_notional,stock_return,stock_pnl,option_qualified,option_affordable,option_contracts,option_entry_fill,option_open_cost,option_return,option_pnl_after_fees,ending_equity,drawdown
2017-09-11 15:00:00+00:00,NVDA,0.0,10000.0,10000.0,-0.0204276058880967,-204.27605888096699,True,True,2,11.403200186567531,2281.9400373135063,-0.1331278014664845,-306.2165941039883,9489.507347015046,0.051049265298495405
2017-09-11 17:00:00+00:00,TSLA,0.0,9489.507347015046,9489.507347015046,0.0131846723482462,125.11604511666843,False,False,0,10.418055798711972,0.0,0.0750480868028433,0.0,9614.623392131714,0.03853766078682852
2017-09-12 15:30:00+00:00,AAPL,0.0,9614.623392131714,9614.623392131714,-0.0028140451230699,-27.05598406678203,False,False,0,,0.0,,0.0,9587.567408064931,0.04124325919350691
2017-09-21 15:00:00+00:00,TSLA,0.0,9587.567408064931,9587.567408064931,-0.0192522949584704,-184.5826756742836,False,False,0,,0.0,,0.0,9402.984732390647,0.05970152676093532
2017-10-02 13:30:00+00:00,MSFT,50.0,9452.984732390647,9452.984732390647,-0.0112570070746908,-106.41231600946563,False,False,0,11.30287064912044,0.0,-0.1250619431955744,0.0,9346.572416381181,0.06534275836188186
2017-10-03 14:30:00+00:00,MSFT,0.0,9346.572416381181,9346.572416381181,-0.0058182228746352,-54.38044143242338,False,False,0,6.068283096201171,0.0,-0.1428888509463278,0.0,9292.191974948757,0.07078080250512431
2017-10-04 15:30:00+00:00,NVDA,0.0,9292.191974948757,9292.191974948757,-0.0004,-3.7168767899795028,False,False,0,,0.0,,0.0,9288.475098158777,0.07115249018412229
2017-10-05 13:30:00+00:00,AAPL,0.0,9288.475098158777,9288.475098158777,-0.0200022274392525,-185.79019147720504,False,False,0,,0.0,,0.0,9102.684906681572,0.08973150933184282
2017-10-05 16:00:00+00:00,TSLA,0.0,9102.684906681572,9102.684906681572,0.0064792330605267,58.97841698692864,False,False,0,,0.0,,0.0,9161.663323668501,0.08383366763314992
2017-10-06 13:30:00+00:00,AAPL,0.0,9161.663323668501,9161.663323668501,-0.0010464153381329,-9.586905024696362,False,False,0,,0.0,,0.0,9152.076418643805,0.08479235813561958
2017-10-11 17:00:00+00:00,TSLA,0.0,9152.076418643805,9152.076418643805,-0.0209241362843665,-191.49929426863983,False,False,0,,0.0,,0.0,8960.577124375164,0.10394228756248358
2017-10-13 15:00:00+00:00,NVDA,0.0,8960.577124375164,8960.577124375164,0.006706214991108,60.09155664046414,False,False,0,,0.0,,0.0,9020.668681015628,0.09793313189843722
2017-10-13 18:00:00+00:00,NVDA,0.0,9020.668681015628,9020.668681015628,-0.0247795142678252,-223.52778828655067,False,False,0,,0.0,,0.0,8797.140892729078,0.12028591072709227
2017-10-16 15:30:00+00:00,NVDA,0.0,8797.140892729078,8797.140892729078,0.0009151907041828,8.051061568412031,False,False,0,,0.0,,0.0,8805.19195429749,0.11948080457025101
2017-10-17 13:30:00+00:00,NVDA,0.0,8805.19195429749,8805.19195429749,0.013084022322445,115.20732808344148,False,False,0,9.790479412810113,0.0,0.0237356087494784,0.0,8920.399282380931,0.10796007176190692
2017-10-18 15:30:00+00:00,NVDA,0.0,8920.399282380931,8920.399282380931,-0.0004,-3.5681597129523728,False,False,0,9.371147300281434,0.0,-0.0619000464503248,0.0,8916.831122667978,0.10831688773320225
2017-10-19 13:30:00+00:00,MSFT,0.0,8916.831122667978,8916.831122667978,0.0060326991713809,53.79255972506253,False,False,0,,0.0,,0.0,8970.623682393041,0.10293763176069592
2017-10-20 13:30:00+00:00,MSFT,0.0,8970.623682393041,8970.623682393041,-0.0028455842517762,-25.526665479228264,False,False,0,,0.0,,0.0,8945.097016913813,0.10549029830861878
2017-10-23 13:30:00+00:00,AAPL,0.0,8945.097016913813,8945.097016913813,-0.0004,-3.5780388067655253,False,False,0,4.265007593614111,0.0,-0.0667954770006343,0.0,8941.518978107048,0.10584810218929519
2017-10-23 16:30:00+00:00,NVDA,0.0,8941.518978107048,8941.518978107048,-0.0004,-3.5766075912428192,False,False,0,,0.0,,0.0,8937.942370515804,0.10620576294841955
2017-10-24 16:00:00+00:00,AAPL,0.0,8937.942370515804,8937.942370515804,0.0061585092327495,55.044400610604534,False,False,0,,0.0,,0.0,8992.986771126409,0.10070132288735911
2017-10-25 14:30:00+00:00,NVDA,0.0,8992.986771126409,8992.986771126409,0.0043380923415991,39.01240703992549,False,False,0,,0.0,,0.0,9031.999178166334,0.09680008218336666
2017-10-27 17:30:00+00:00,AAPL,0.0,9031.999178166334,9031.999178166334,-0.0080215621910893,-72.45074311752869,False,False,0,,0.0,,0.0,8959.548435048806,0.10404515649511936
2017-10-30 17:00:00+00:00,MSFT,0.0,8959.548435048806,8959.548435048806,0.0152272159810897,136.4289791135224,False,False,0,,0.0,,0.0,9095.977414162327,0.09040225858376727
2017-10-31 15:00:00+00:00,MSFT,0.0,9095.977414162327,9095.977414162327,-0.0102652295073266,-93.37229574983543,False,False,0,7.026701934184856,0.0,-0.1877505886381452,0.0,9002.605118412492,0.09973948815875078
2017-10-31 16:30:00+00:00,AAPL,0.0,9002.605118412492,9002.605118412492,0.0189065427006928,170.20813808874135,False,False,0,,0.0,,0.0,9172.813256501233,0.08271867434987668
2017-11-03 13:30:00+00:00,AAPL,50.0,9222.813256501233,9222.813256501233,-0.0129985879952814,-119.88354967867907,False,False,0,,0.0,,0.0,9102.929706822553,0.08970702931774466
2017-11-07 15:00:00+00:00,AAPL,0.0,9102.929706822553,9102.929706822553,0.0096358050849411,87.71405635686216,False,False,0,,0.0,,0.0,9190.643763179416,0.08093562368205842
2017-11-08 15:30:00+00:00,AAPL,0.0,9190.643763179416,9190.643763179416,-0.0006367531087426,-5.852170987550281,False,False,0,,0.0,,0.0,9184.791592191867,0.08152084078081334
2017-11-09 14:30:00+00:00,TSLA,0.0,9184.791592191867,9184.791592191867,0.0097242475708102,89.31518732876971,False,False,0,,0.0,,0.0,9274.106779520636,0.07258932204793633
2017-11-13 14:30:00+00:00,AAPL,0.0,9274.106779520636,9274.106779520636,0.0217463021581071,201.67752827400528,False,False,0,,0.0,,0.0,9475.784307794642,0.05242156922053587
2017-11-14 17:30:00+00:00,AAPL,0.0,9475.784307794642,9475.784307794642,0.0406220999543182,384.92625729679384,False,False,0,,0.0,,0.0,9860.710565091436,0.013928943490856383
2017-11-15 14:30:00+00:00,AAPL,0.0,9860.710565091436,9860.710565091436,-0.0165951222320582,-163.63969712264006,True,True,2,13.354753855665107,2672.2507711330218,-0.213906411525369,-573.9334948139817,9123.137373154814,0.08768626268451862
2017-11-21 14:30:00+00:00,AAPL,0.0,9123.137373154814,9123.137373154814,-0.0004,-3.6492549492619255,False,False,0,,0.0,,0.0,9119.488118205552,0.0880511881794448
2017-11-23 16:30:00+00:00,AAPL,0.0,9119.488118205552,9119.488118205552,0.00550454071189,50.198593618259586,False,False,0,,0.0,,0.0,9169.686711823811,0.08303132881761888
2017-11-27 17:00:00+00:00,MSFT,0.0,9169.686711823811,9169.686711823811,0.0164900168674998,151.20828854766344,False,False,0,,0.0,,0.0,9320.895000371474,0.06791049996285259
2017-11-28 14:30:00+00:00,NVDA,0.0,9320.895000371474,9320.895000371474,-0.0004,-3.72835800014859,False,False,0,6.501553276223658,0.0,-0.2062444107232849,0.0,9317.166642371325,0.06828333576286749
2017-11-29 18:30:00+00:00,MSFT,0.0,9317.166642371325,9317.166642371325,-0.0164022359450542,-152.8223656075629,False,False,0,8.012448823541295,0.0,-0.1756782177042277,0.0,9164.344276763763,0.08356557232362372
2017-11-30 14:30:00+00:00,MSFT,0.0,9164.344276763763,9164.344276763763,0.0001914092293113,1.7541400751587748,False,False,0,,0.0,,0.0,9166.09841683892,0.08339015831610797
2017-12-01 14:30:00+00:00,TSLA,50.0,9216.09841683892,9216.09841683892,-0.0214115112365081,-197.33059480891106,False,False,0,,0.0,,0.0,9018.76782203001,0.09812321779699906
2017-12-07 16:30:00+00:00,NVDA,0.0,9018.76782203001,9018.76782203001,-0.0202073412967275,-182.24531945570413,False,False,0,,0.0,,0.0,8836.522502574306,0.11634774974256945
2017-12-07 19:00:00+00:00,MSFT,0.0,8836.522502574306,8836.522502574306,0.0169785167990512,150.03104575515178,False,False,0,6.7287319643199215,0.0,0.2467707619892318,0.0,8986.553548329457,0.10134464516705433
2017-12-11 14:30:00+00:00,NVDA,0.0,8986.553548329457,8986.553548329457,-0.0228234912408283,-205.10452619553183,False,False,0,,0.0,,0.0,8781.449022133926,0.12185509778660741
2017-12-11 18:00:00+00:00,NVDA,0.0,8781.449022133926,8781.449022133926,-0.0234343607805644,-205.78764456082087,False,False,0,,0.0,,0.0,8575.661377573104,0.1424338622426896
2017-12-15 14:30:00+00:00,AAPL,0.0,8575.661377573104,8575.661377573104,0.0322640165662215,276.6852807523245,False,False,0,,0.0,,0.0,8852.346658325429,0.11476533416745716
2017-12-15 19:00:00+00:00,MSFT,0.0,8852.346658325429,8852.346658325429,0.0189096038620701,167.39436855865387,False,False,0,,0.0,,0.0,9019.741026884083,0.09802589731159173
2017-12-18 14:30:00+00:00,MSFT,0.0,9019.741026884083,9019.741026884083,0.0056095756115942,50.59691928730458,True,True,3,7.614867606245221,2286.4102818735664,-0.1228738059550446,-284.6003293869391,8785.737616784449,0.12142623832155519
2017-12-20 14:30:00+00:00,TSLA,0.0,8785.737616784449,8785.737616784449,-0.0331320861458901,-291.0898155744895,False,False,0,,0.0,,0.0,8494.64780120996,0.1505352198790041
2017-12-21 18:00:00+00:00,MSFT,0.0,8494.64780120996,8494.64780120996,0.0210056993751405,178.43601800991468,False,False,0,7.511794828849638,0.0,0.3111829128488776,0.0,8673.083819219873,0.13269161807801266
2017-12-22 14:30:00+00:00,MSFT,0.0,8673.083819219873,8673.083819219873,-0.0128731869418257,-111.65022936694105,False,False,0,10.071704425108004,0.0,-0.2378752369437515,0.0,8561.433589852932,0.14385664101470685
2017-12-22 17:00:00+00:00,MSFT,0.0,8561.433589852932,8561.433589852932,0.0316361814725014,270.85106671335643,False,False,0,,0.0,,0.0,8832.284656566288,0.11677153434337129
2017-12-25 14:30:00+00:00,TSLA,0.0,8832.284656566288,8832.284656566288,-0.0276102935577449,-243.8619721533613,False,False,0,,0.0,,0.0,8588.422684412926,0.14115773155870737
2017-12-25 18:00:00+00:00,NVDA,0.0,8588.422684412926,8588.422684412926,0.0574246991591983,493.1875889044466,False,False,0,,0.0,,0.0,9081.610273317372,0.0918389726682628
