date,open,high,low,close,volume
2018-01-02 00:00:00+00:00,135.58674045324335,136.97976511936358,134.31638398608396,136.83958435058594,1067600
2018-01-03 00:00:00+00:00,136.69942210761326,138.15376770193615,136.39277830540186,137.9873046875,1427900
2018-01-04 00:00:00+00:00,139.64317599372396,141.35158786443944,139.18759503874048,140.1513214111328,1896800
2018-01-05 00:00:00+00:00,141.7283206788987,142.22769643521994,140.66822168008954,141.37786865234375,1699500
2018-01-08 00:00:00+00:00,141.15008279749694,141.62317631595627,140.58061664419134,141.32530212402344,936700
2018-01-09 00:00:00+00:00,142.22766834616522,144.1113125248985,141.8947556971585,142.70077514648438,3366400
2018-01-10 00:00:00+00:00,142.54308234167166,142.9548550765211,141.49175310374025,142.47299194335938,2416800
2018-01-11 00:00:00+00:00,143.77836904124962,145.50430628741705,143.07747858008352,143.51553344726562,2007100
2018-01-12 00:00:00+00:00,143.7346146065562,144.6632891331662,143.02496759540622,143.81346130371094,2644400
2018-01-16 00:00:00+00:00,144.12009951441095,144.75965609129864,140.37034966642418,142.01744079589844,2754100
2018-01-17 00:00:00+00:00,143.28777001869167,143.88351830559878,141.45670362299856,143.20892333984375,1751900
2018-01-18 00:00:00+00:00,142.788399267267,144.12884645283384,141.4041439094941,141.49176025390625,1746700
2018-01-19 00:00:00+00:00,142.10497886647164,142.2364033315825,141.30771589726376,141.8246307373047,1678800
2018-01-22 00:00:00+00:00,141.55307923797318,141.666964431483,139.83589799703742,140.72076416015625,1523400
2018-01-23 00:00:00+00:00,139.87972497195986,140.88724611858402,138.8721904569581,139.50299072265625,1775300
2018-01-24 00:00:00+00:00,139.3890990831942,141.9648511195236,139.28395679817677,140.93980407714844,3701100
2018-01-25 00:00:00+00:00,145.66201832245451,146.2665362557119,141.75457589185305,143.112548828125,3391800
2018-01-26 00:00:00+00:00,143.41043880423786,145.6445218340529,142.08750423366453,145.16265869140625,1870000
2018-01-29 00:00:00+00:00,144.73335869142355,145.54814788310983,140.7996336362325,142.656982421875,2982800
2018-01-30 00:00:00+00:00,142.5430739356609,142.75334511819779,140.75581567341285,140.80838012695312,2007700
2018-01-31 00:00:00+00:00,141.4304238821498,142.21893086414408,140.21263157716754,141.48300170898438,3570500
2018-02-01 00:00:00+00:00,140.03742755255527,140.96610206906155,139.24016419654384,140.02867126464844,1520800
2018-02-02 00:00:00+00:00,137.30395284677707,137.85590639481916,135.75323448746363,135.84085083007812,2086200
2018-02-05 00:00:00+00:00,134.9384577676205,137.40908086637629,131.44277426679773,131.6968536376953,2593900
2018-02-06 00:00:00+00:00,131.54793299185198,137.01486511207202,129.68182747254343,136.06866455078125,3718100
2018-02-07 00:00:00+00:00,135.41150292536943,135.60424811436656,131.41644513228744,131.42520141601562,2248000
2018-02-08 00:00:00+00:00,131.31134937920223,131.9596621163094,126.20362731902767,126.22115325927734,2054300
2018-02-09 00:00:00+00:00,127.28998945085687,131.96842603437406,126.77308786715152,130.9608917236328,3116200
2018-02-12 00:00:00+00:00,132.17873331858374,135.77954654982238,131.8545768427655,134.70193481445312,3099700
2018-02-13 00:00:00+00:00,133.8082465251957,135.31515645645803,133.23878050035663,134.77197265625,1402800
2018-02-14 00:00:00+00:00,133.3877315976474,136.88341489351146,133.16870412375962,135.85836791992188,1622000
2018-02-15 00:00:00+00:00,136.90968222146563,136.94472073138905,134.14992832978933,136.49790954589844,1634200
2018-02-16 00:00:00+00:00,135.40278431584508,135.91092964927995,134.2200306332186,134.57923889160156,1589400
2018-02-20 00:00:00+00:00,133.38777205793969,135.14874866953602,132.85334432481142,134.57052612304688,2590500
2018-02-21 00:00:00+00:00,134.4566190120434,136.44539269543617,133.8170623779297,133.8170623779297,1834100
2018-02-22 00:00:00+00:00,134.80702472454317,135.76199466622498,134.1674682469062,134.63180541992188,1627100
2018-02-23 00:00:00+00:00,135.1925384622648,136.44538277406858,133.65058960073077,136.34024047851562,1593400
2018-02-26 00:00:00+00:00,136.18254857161236,136.6556421174314,134.62307374909759,136.52423095703125,1018600
2018-02-27 00:00:00+00:00,135.70937649928965,136.0773543084899,134.52663651842158,134.92088317871094,1239400
2018-02-28 00:00:00+00:00,135.05234239184188,135.35898621930104,131.1186173027832,131.1974639892578,1541700
2018-03-01 00:00:00+00:00,130.72435113282287,131.486562392562,128.42893433133722,129.5941619873047,1918000
2018-03-02 00:00:00+00:00,128.99844453779247,131.39897744390896,128.48152946450097,130.9171142578125,1420600
2018-03-05 00:00:00+00:00,130.37394271043897,134.41281083307575,130.11110700501246,133.8170623779297,1852900
2018-03-06 00:00:00+00:00,134.82559771899227,136.24379514536747,133.68928438676605,135.34530639648438,1470000
2018-03-07 00:00:00+00:00,134.37635872324717,137.2391785011162,134.16494565474648,136.62257385253906,1821700
2018-03-08 00:00:00+00:00,137.18635459786577,139.2563858419609,136.92209157239225,139.0714111328125,2190900
2018-03-09 00:00:00+00:00,139.133055771202,141.09738705277147,138.4283588964447,141.0181121826172,1340300
2018-03-12 00:00:00+00:00,143.27314120544108,143.9954592476235,141.04454676364549,141.91661071777344,1787800
