date,open,high,low,close,volume
2018-01-02 00:00:00+00:00,167.2801147389983,170.36250483951926,166.84233433789998,168.2539825439453,2509300
2018-01-03 00:00:00+00:00,168.70077632400537,171.63128325624507,168.30765721283916,170.2732391357422,3364400
2018-01-04 00:00:00+00:00,171.54190453888845,171.8099414913156,167.57499581515853,168.95091247558594,3525800
2018-01-05 00:00:00+00:00,169.24573607931282,169.4690979314787,166.8245012362732,167.7447509765625,2819000
2018-01-08 00:00:00+00:00,167.36056880363978,168.84368108489377,167.2980209435952,168.39695739746094,1961800
2018-01-09 00:00:00+00:00,168.8705010804576,169.12960848071097,166.31524077572797,166.44032287597656,2241900
2018-01-10 00:00:00+00:00,165.9578489114884,166.39564303046726,164.28710669278897,165.6630096435547,2609500
2018-01-11 00:00:00+00:00,165.67196697319665,170.35363688255555,165.31459341861907,169.2010955810547,4678600
2018-01-12 00:00:00+00:00,169.84436645398293,171.70272516127764,169.75501625541483,171.39895629882812,3499500
2018-01-16 00:00:00+00:00,171.85462749281177,172.29240803105785,170.55018817912847,171.1219940185547,2006600
2018-01-17 00:00:00+00:00,172.01544243514056,172.04224476893782,170.95223775142762,171.80101013183594,2585200
2018-01-18 00:00:00+00:00,171.747409267796,172.4621699950473,170.84503219980894,171.1041259765625,1908000
2018-01-19 00:00:00+00:00,171.28282258980474,172.11372220337267,170.79142374864415,171.80101013183594,2353800
2018-01-22 00:00:00+00:00,171.98863413352876,174.00782046277547,171.5955150742411,173.66831970214844,3009100
2018-01-23 00:00:00+00:00,172.98038038440322,173.4181745909564,171.6044771584082,172.8106231689453,2316400
2018-01-24 00:00:00+00:00,173.71295643030268,173.99886611740578,171.47933812327565,173.543212890625,2799200
2018-01-25 00:00:00+00:00,174.22230317761301,177.30469504570783,173.99001168123104,176.85797119140625,3558700
2018-01-26 00:00:00+00:00,176.67923488347367,178.0015333045731,174.83873530059546,177.71563720703125,2756200
2018-01-29 00:00:00+00:00,177.23319907207517,178.58231369615777,176.50950868500158,177.18853759765625,2031100
2018-01-30 00:00:00+00:00,176.53626436714524,177.6083984954965,175.18716373253682,176.82217407226562,2285000
2018-01-31 00:00:00+00:00,176.40224531336406,177.3224949846125,173.41813446421045,174.1060791015625,2682300
2018-02-01 00:00:00+00:00,172.80168097681397,174.5796327430949,171.93503582758018,172.85528564453125,2096600
2018-02-02 00:00:00+00:00,170.87180250722213,172.97140919381397,170.46975393379003,170.63951110839844,2386600
2018-02-05 00:00:00+00:00,170.34471067792938,171.6312773124899,163.08097783951408,163.29541015625,3407200
2018-02-06 00:00:00+00:00,159.84667115425728,165.50219460394317,157.4254227994952,165.29669189453125,4067900
2018-02-07 00:00:00+00:00,164.93038782664084,166.3509658547054,163.56341445881648,163.67062377929688,2594800
2018-02-08 00:00:00+00:00,164.84997810936488,164.84997810936488,159.50716636947084,159.57864379882812,3013200
2018-02-09 00:00:00+00:00,160.6239786416549,162.66998090056188,157.05911847108138,161.4638214111328,2777200
2018-02-12 00:00:00+00:00,162.46448130530976,163.7331750504609,161.16005566058692,161.76759338378906,1596200
2018-02-13 00:00:00+00:00,161.01709378369978,164.9303978132853,160.86520935951424,164.52833557128906,2123900
2018-02-14 00:00:00+00:00,163.24179439203493,168.39697651454009,162.88440722176168,167.38739013671875,2191000
2018-02-15 00:00:00+00:00,168.49818926601228,171.74113256630596,167.13652516109173,171.5350799560547,2072900
2018-02-16 00:00:00+00:00,171.50823824697602,174.34804399191387,171.1409412666465,171.60678100585938,1969300
2018-02-20 00:00:00+00:00,170.09283317175522,171.53513354709327,168.08616389783043,168.52511596679688,2202100
2018-02-21 00:00:00+00:00,168.89232968298586,169.43879138593704,166.348153154565,166.4019012451172,1747200
