date,open,high,low,close,volume
2018-01-02 00:00:00+00:00,132.1022666755433,133.01187491387236,130.20793500166954,131.05078125,5108400
2018-01-03 00:00:00+00:00,131.05078214387248,131.42631993186947,129.6821931734355,131.25106811523438,4146100
2018-01-04 00:00:00+00:00,131.7601327256093,133.17044969848334,131.03411668561702,133.05361938476562,4865800
2018-01-05 00:00:00+00:00,133.73787013313054,135.23164236901903,133.2204807077736,135.1565399169922,3945400
2018-01-08 00:00:00+00:00,136.95072912089037,138.88677569778153,135.64890228351513,138.552978515625,5929200
2018-01-09 00:00:00+00:00,138.80333685393458,139.70460455253664,137.76854518512184,138.88677978515625,4522900
2018-01-10 00:00:00+00:00,138.44446774194444,139.80471588371685,137.276165047722,138.41943359375,5478600
2018-01-11 00:00:00+00:00,139.27901362033157,141.47376795999904,138.22754089117146,141.19837951660156,4199000
2018-01-12 00:00:00+00:00,141.85762302941652,142.42508077132254,141.22339057252634,142.11631774902344,4127900
2018-01-16 00:00:00+00:00,144.28603360556022,144.56977522728738,139.83812933239102,141.2901611328125,8530600
2018-01-17 00:00:00+00:00,141.29851282995403,141.95776673763,140.6142120361328,140.6142120361328,5571400
2018-01-18 00:00:00+00:00,141.30687082637183,142.50020802671563,140.27207903429857,140.88961791992188,4668800
2018-01-19 00:00:00+00:00,142.21430543077466,142.90176990455328,141.35915483849195,142.8682403564453,5796700
2018-01-22 00:00:00+00:00,142.7927603612841,143.28740104979747,141.25013281497056,143.2706298828125,3540900
2018-01-23 00:00:00+00:00,144.2012103283175,144.24313184333835,141.8537462063032,142.04656982421875,5036500
2018-01-24 00:00:00+00:00,143.69817423399277,144.57847485739214,140.57102373787512,141.1327362060547,8241000
2018-01-25 00:00:00+00:00,145.12342479584416,145.12342479584416,136.2030718391373,141.9962615966797,16937100
2018-01-26 00:00:00+00:00,141.52679499209742,141.68608909174674,137.95530409726956,140.05963134765625,9045300
2018-01-29 00:00:00+00:00,138.8188178086192,139.070334106019,133.65439930025795,136.30368041992188,9496800
2018-01-30 00:00:00+00:00,134.41731938820922,138.08942385107395,133.98135868480782,137.29295349121094,8694800
2018-01-31 00:00:00+00:00,138.08104571222475,138.99487593048354,135.7252023088921,136.4713592529297,7014000
2018-02-01 00:00:00+00:00,135.1802518740976,137.27619964246685,134.2915592744831,136.0186309814453,4323600
2018-02-02 00:00:00+00:00,134.7862292219197,134.81137957481658,131.23149676489194,132.03634643554688,7602800
2018-02-05 00:00:00+00:00,129.89007503672894,133.243591622986,119.76246620376514,126.66232299804688,11390500
2018-02-06 00:00:00+00:00,124.13881064008352,131.25664165182584,123.08244469179877,131.13088989257812,13908700
2018-02-07 00:00:00+00:00,130.25061253014323,132.53938450696918,129.34516132342395,129.3954620361328,7156500
2018-02-08 00:00:00+00:00,128.98461814596817,129.26966394430465,122.3362658238575,122.39495849609375,9101900
2018-02-09 00:00:00+00:00,124.67535393277595,126.5030141180575,119.7876025448413,125.09454345703125,9528100
2018-02-12 00:00:00+00:00,127.32462488049845,128.6492653421927,125.96645488487174,127.67674255371094,5756800
2018-02-13 00:00:00+00:00,126.80485832922554,130.11645372375594,126.59526352206979,129.0852508544922,5512100
2018-02-14 00:00:00+00:00,127.76056828124142,132.9585152372225,127.71864677501424,132.51417541503906,5560100
2018-02-15 00:00:00+00:00,133.97298400943885,134.42570309896755,132.02793833851564,134.12388610839844,4914500
2018-02-16 00:00:00+00:00,134.2496278706083,134.97901347711684,130.86256968531217,131.03024291992188,5991600
2018-02-20 00:00:00+00:00,130.09124564824492,132.67345406178455,129.3367097943359,130.418212890625,5094600
2018-02-21 00:00:00+00:00,130.53564081575098,132.79926213076314,129.98230746531536,130.1416015625,4179400
2018-02-22 00:00:00+00:00,131.1308647202,133.95619790524555,130.95479949840038,133.1848907470703,4723300
2018-02-23 00:00:00+00:00,133.63760390281,136.21981268875084,133.48670182732386,136.1611328125,4450800
2018-02-26 00:00:00+00:00,136.6976909112142,137.5360698646192,135.44012248110673,137.2342529296875,6254400
2018-02-27 00:00:00+00:00,136.8737334943573,137.99717093362295,135.18021734084994,135.1969757080078,4127700
2018-02-28 00:00:00+00:00,135.39820948284913,136.10244477772554,129.25288983312274,129.6385498046875,7298600
2018-03-01 00:00:00+00:00,128.83374921205242,130.946468690936,124.5077088290324,125.94972229003906,9434800
2018-03-02 00:00:00+00:00,125.02751274668934,125.65629724001583,122.2860087738429,122.72196960449219,9509400
2018-03-05 00:00:00+00:00,121.69071493736388,127.31624403540394,120.73496332463276,126.69583892822266,8453000
2018-03-06 00:00:00+00:00,127.9701860355501,129.93199007040178,127.15695728054195,128.90078735351562,5795600
2018-03-07 00:00:00+00:00,125.75691693693419,127.66004186185657,124.75924334907636,127.02286529541016,5491000
2018-03-08 00:00:00+00:00,127.20724657338823,129.08522020495903,125.99997872399622,128.76663208007812,4105000
2018-03-09 00:00:00+00:00,130.04936175782817,132.81601534336863,129.38704789830976,132.67349243164062,4576700
2018-03-12 00:00:00+00:00,132.66514524299663,133.5873547988344,128.9846606219977,129.52960205078125,4880400
2018-03-13 00:00:00+00:00,131.03869552695838,132.35494445993797,128.43971441372207,128.85052490234375,4819100
2018-03-14 00:00:00+00:00,129.78108215941657,130.15835018112185,126.85513460957254,127.88633728027344,4873600
2018-03-15 00:00:00+00:00,128.4229127886385,130.44340962189307,127.14019370523808,129.58827209472656,5268800
2018-03-16 00:00:00+00:00,129.37870503959977,132.0028236575619,128.53193372446256,131.17283630371094,10897600
2018-03-19 00:00:00+00:00,129.3115862142548,129.8062267718021,126.44433146629146,127.55936431884766,5479200
2018-03-20 00:00:00+00:00,128.2720256057658,130.11645740235096,127.88636552092925,129.16070556640625,3557600
2018-03-21 00:00:00+00:00,129.24453500101458,131.86027389921912,128.44807735369213,130.61947631835938,3887400
2018-03-22 00:00:00+00:00,128.16300686027265,128.69118977841828,122.61294140126171,123.15788269042969,8225600
2018-03-23 00:00:00+00:00,123.82857921474066,124.55797766420042,120.55051416255854,120.9697036743164,6533100
2018-03-26 00:00:00+00:00,123.92921394760472,125.38798550313335,121.78295254566753,125.07778930664062,5454900
2018-03-27 00:00:00+00:00,125.67304176268361,126.69586544915973,122.22730260737681,123.23336791992188,4915300
