profile,candidates,test_candidates,accept_count,accept_rate,unfiltered_mean_net_bps,filtered_mean_net_bps,unfiltered_portfolio_return,filtered_portfolio_return,unfiltered_max_drawdown,filtered_max_drawdown,positive_rate,target_rate,time_exit_rate,median_hold_bars,accepted_good_fraction,mean_mfe_bps,mean_mae_bps
fixed_15m,288,58,0,0.0,-26.06799006150684,,-0.015008465491046175,0.0,0.015384073687197155,0.0,0.08620689655172414,0.08620689655172414,0.8448275862068966,3.0,,,
fixed_1h,288,58,0,0.0,-23.73255451099638,,-0.013674150886993974,0.0,0.014050267899194604,0.0,0.20689655172413793,0.20689655172413793,0.5689655172413793,12.0,,,
fixed_4h,288,58,0,0.0,-18.08838670339328,,-0.010440397764410303,0.0,0.010817747908201019,0.0,0.3793103448275862,0.3793103448275862,0.3275862068965517,36.0,,,
fixed_1d,288,58,9,0.15517241379310345,-13.83413087077586,2.183345213173787,-0.007996560239057371,0.00019605121446408802,0.008600775878667897,0.0005808407461067574,0.5689655172413793,0.5689655172413793,0.0,36.0,1.0,,
adaptive_fast_4h,288,58,0,0.0,-13.309978463628953,,-0.007692760920657293,0.0,0.008071158824639242,0.0,0.3793103448275862,0.3793103448275862,0.1896551724137931,12.0,,20.913952973157617,-5.4442030984759535
adaptive_balanced_1d,288,58,16,0.27586206896551724,-6.7320421830385735,7.358373164101234,-0.0038999091849183376,0.0011774709889083024,0.00509233126354317,0.0005780846125748991,0.5689655172413793,0.5689655172413793,0.0,18.0,1.0,28.290316595971824,-6.380145472343967
adaptive_patient_1d,288,58,12,0.20689655172413793,-10.40825880242034,2.012333490020307,-0.006022577556754727,0.000240949064725271,0.006870868523169329,0.0005808407461066645,0.5689655172413793,0.5689655172413793,0.0,36.0,1.0,28.290316595971824,-9.919518216709713
