year,strategy,bars,return,annualized_volatility,sharpe,max_drawdown,positive_bar_rate
2018,vol_scaled,2181,-0.18316144305781623,0.1599666515974489,-1.189250065063639,-0.23506116665147658,0.07565337001375516
2018,fixed_size,2181,-0.2289689048092386,0.2525504269144266,-0.906240030331132,-0.2939479473428893,0.07565337001375516
2018,buy_and_hold,2181,-0.7260011874721689,0.87582426103156,-1.046674058397621,-0.8163733647425963,0.5025217790004585
2019,vol_scaled,2187,0.8678011255785858,0.28605488227891734,2.3285845249679276,-0.18944706466560435,0.26337448559670784
2019,fixed_size,2187,1.3015765034543785,0.5373711116479981,1.8211470440813051,-0.3624070180042961,0.26337448559670784
2019,buy_and_hold,2187,0.940951173663142,0.6740548541052479,1.3213220412936841,-0.5224938103844025,0.5061728395061729
2020,vol_scaled,2193,1.50387679229596,0.30793644510241597,3.130851813026497,-0.15746664897380513,0.354765161878705
2020,fixed_size,2193,2.7873304694290493,0.47726749217934267,3.0259669438461265,-0.1815555282003749,0.354765161878705
2020,buy_and_hold,2193,3.045661845564707,0.672783868699834,2.4182094068583364,-0.5607200016907767,0.5326037391700866
2021,vol_scaled,2190,0.2764100857163949,0.29857182316465897,0.9670045357965082,-0.2262974628291856,0.31232876712328766
2021,fixed_size,2190,0.9365540721530836,0.6658959145024614,1.3242491559217127,-0.36203546385215024,0.31232876712328766
2021,buy_and_hold,2190,0.594036304832551,0.8755657357825057,0.9702678163793189,-0.5415264145687624,0.510958904109589
2022,vol_scaled,2190,-0.27507943891286224,0.16567390045933938,-1.8582559956584164,-0.29599272908371044,0.08904109589041095
2022,fixed_size,2190,-0.3454738441879446,0.2206271907195392,-1.8100752726881408,-0.3587823106416983,0.08904109589041095
2022,buy_and_hold,2190,-0.6422872444020106,0.6178288860627725,-1.3543350718664617,-0.6726219839678478,0.48812785388127855
2023,vol_scaled,2188,0.6567650293900449,0.2811537445725476,1.9380357492398574,-0.16459477331457217,0.33775137111517367
2023,fixed_size,2188,0.9789419813439859,0.34922377127501136,2.1312999461375606,-0.16156611746479177,0.3386654478976234
2023,buy_and_hold,2188,1.5582071764965675,0.4222698606898071,2.4374271436713895,-0.21203984916591467,0.5210237659963437
2024,vol_scaled,2196,0.42370612810445873,0.3078774580702585,1.2979584877678318,-0.2786204828857729,0.3451730418943534
2024,fixed_size,2196,0.6991456080105329,0.41882949426324917,1.471707645322851,-0.31411130178080704,0.3451730418943534
2024,buy_and_hold,2196,1.207578687695786,0.5231543543792956,1.7714513780789976,-0.3016044274815184,0.523224043715847
2025,vol_scaled,2188,0.036414274991757534,0.22866144537988892,0.27103154220735554,-0.16833550412030962,0.23583180987202926
2025,fixed_size,2188,0.03447519830094303,0.26376567768045217,0.26052060456677645,-0.1730294754517,0.23583180987202926
2025,buy_and_hold,2188,-0.06273181865801969,0.4446996722391765,0.07656459059089726,-0.3448529519004314,0.5054844606946983
2026,vol_scaled,1198,-0.0536994336857578,0.17114803064766893,-0.5040335189209787,-0.10272796930670092,0.1327212020033389
2026,fixed_size,1198,-0.0406259199570036,0.18255839961811346,-0.3241380362940893,-0.10423879151023496,0.1327212020033389
2026,buy_and_hold,1198,-0.260762253374192,0.4415729261317622,-1.0295073400796568,-0.40099260394204117,0.496661101836394
