fold,train_candidates,calibration_candidates,test_candidates,selected_trades,residual_std_bps,expected_hold_sessions,mean_predicted_return_bps,mean_realized_stock_bps,option_available_rate
1,135,34,62,30,178.52934572122524,0.38461538461538464,80.46305757564016,36.8049135794026,0.5666666666666667
2,184,47,63,18,169.78254649777494,0.38461538461538464,10.81145635271526,-24.7112162102728,0.0
3,235,59,66,30,254.13365547384822,0.38461538461538464,69.46081115305391,-5.336459798665265,0.6666666666666666
4,288,72,67,22,207.81592374083795,0.38461538461538464,46.907633166831076,39.829498043185986,0.3181818181818182
