strategy,side,entry_timestamp,last_active_timestamp,exit_timestamp,entry_close,exit_close,active_bars,calendar_bars,active_days,trade_return,pnl,winning_trade
vol_scaled,short,2018-02-12 04:00:00+00:00,2018-02-20 16:00:00+00:00,2018-02-20 20:00:00+00:00,8457.01,11677.0,52,53,8.666666666666666,-0.09927858186214611,-992.7858186214617,False
vol_scaled,short,2018-02-23 12:00:00+00:00,2018-03-01 16:00:00+00:00,2018-03-01 20:00:00+00:00,10338.0,10890.0,38,39,6.333333333333333,-0.030406942588519614,-273.8818444956705,False
vol_scaled,long,2018-03-03 08:00:00+00:00,2018-03-08 12:00:00+00:00,2018-03-08 16:00:00+00:00,11275.0,9928.98,32,33,5.333333333333333,-0.07566011561431096,-660.7649343067633,False
vol_scaled,short,2018-03-09 04:00:00+00:00,2018-04-20 20:00:00+00:00,2018-04-21 00:00:00+00:00,8727.0,8866.27,257,258,42.833333333333336,-0.07105111144574816,-573.5648861737454,False
vol_scaled,long,2018-04-21 12:00:00+00:00,2018-05-14 04:00:00+00:00,2018-05-14 08:00:00+00:00,8819.12,8384.81,136,137,22.666666666666668,-0.03188859219625728,-239.1326331242608,False
vol_scaled,short,2018-05-16 04:00:00+00:00,2018-05-16 04:00:00+00:00,2018-05-16 08:00:00+00:00,8227.88,8227.88,1,2,0.16666666666666666,-0.004580403086787421,-33.25313042304242,False
vol_scaled,short,2018-05-16 12:00:00+00:00,2018-07-18 12:00:00+00:00,2018-07-18 16:00:00+00:00,8275.01,7419.02,377,378,62.833333333333336,0.09341457686082921,675.0713461033247,True
vol_scaled,long,2018-07-19 08:00:00+00:00,2018-08-07 00:00:00+00:00,2018-08-07 04:00:00+00:00,7413.42,6926.44,113,114,18.833333333333332,-0.06990800303712597,-552.391235620401,False
vol_scaled,short,2018-08-08 00:00:00+00:00,2018-08-29 16:00:00+00:00,2018-08-29 20:00:00+00:00,6588.01,7000.01,127,128,21.166666666666668,-0.04031232867578327,-296.26727069078424,False
vol_scaled,long,2018-08-31 20:00:00+00:00,2018-09-07 04:00:00+00:00,2018-09-07 08:00:00+00:00,7015.01,6485.01,39,40,6.5,-0.06269074274044273,-442.15966373337506,False
vol_scaled,short,2018-09-08 00:00:00+00:00,2019-02-18 12:00:00+00:00,2019-02-18 16:00:00+00:00,6414.7,3806.72,981,982,163.5,0.04238840316298553,280.2242198048634,True
vol_scaled,long,2019-02-19 04:00:00+00:00,2019-07-23 12:00:00+00:00,2019-07-23 16:00:00+00:00,3889.4,9936.67,925,926,154.16666666666666,1.0016311017910842,6902.334224727144,True
