year,strategy,bars,return,annualized_volatility,sharpe,max_drawdown,positive_bar_rate
2018,vol_scaled,2181,-0.24551701393347491,0.3395587843531646,-0.6628253257711713,-0.37523644956461355,0.4149472718936268
2018,fixed_size,2181,-0.3748022667322486,0.6707704086376932,-0.36507669634948037,-0.6079001431371743,0.41586428243924806
2018,buy_and_hold,2181,-0.7260011874721689,0.87582426103156,-1.046674058397621,-0.8163733647425963,0.5025217790004585
2019,vol_scaled,2187,1.008263340850562,0.3887254185824729,1.9891003526071591,-0.22982012778406136,0.48788294467306814
2019,fixed_size,2187,1.0945082590503215,0.6608804920006837,1.450484605273661,-0.4652667804449824,0.4883401920438957
2019,buy_and_hold,2187,0.940951173663142,0.6740548541052479,1.3213220412936841,-0.5224938103844025,0.5061728395061729
2020,vol_scaled,2193,0.8312394673015713,0.3595970826213134,1.8596324526594477,-0.2439252403777996,0.4860921112631099
2020,fixed_size,2193,1.2347668753317311,0.6631230931090192,1.5393427326761266,-0.5093020039668683,0.4860921112631099
2020,buy_and_hold,2193,3.045661845564707,0.672783868699834,2.4182094068583364,-0.5607200016907767,0.5326037391700866
2021,vol_scaled,2190,0.3047522980606838,0.3737070491944594,0.8988677417407477,-0.2802649891534077,0.4922374429223744
2021,fixed_size,2190,0.7076500117980753,0.862983528835775,1.0501308850324216,-0.4627285850740894,0.4922374429223744
2021,buy_and_hold,2190,0.594036304832551,0.8755657357825057,0.9702678163793189,-0.5415264145687624,0.510958904109589
2022,vol_scaled,2190,-0.2237005748194446,0.35880195936126263,-0.5262531048896426,-0.3970600112245548,0.4831050228310502
2022,fixed_size,2190,-0.2826678331467146,0.612972932353033,-0.23504634395685656,-0.523902716293026,0.48356164383561645
2022,buy_and_hold,2190,-0.6422872444020106,0.6178288860627725,-1.3543350718664617,-0.6726219839678478,0.48812785388127855
2023,vol_scaled,2188,0.3256041317042073,0.3390402905563758,1.0019187317856142,-0.28474564748705566,0.4835466179159049
2023,fixed_size,2188,0.43325056047962884,0.414967982477959,1.0766821738047836,-0.307880141588184,0.4844606946983547
2023,buy_and_hold,2188,1.5582071764965675,0.4222698606898071,2.4374271436713895,-0.21203984916591467,0.5210237659963437
2024,vol_scaled,2196,0.2632786225244994,0.36506899763903394,0.8206094164697634,-0.33368391898992467,0.476775956284153
2024,fixed_size,2196,0.21561871631745388,0.5111827543329909,0.6364554390233947,-0.4836736534250473,0.476775956284153
2024,buy_and_hold,2196,1.207578687695786,0.5231543543792956,1.7714513780789976,-0.3016044274815184,0.523224043715847
2025,vol_scaled,2188,0.12202265535548551,0.3351628377261815,0.5113182092316465,-0.29177466138047536,0.46755027422303475
2025,fixed_size,2188,0.11282646825063858,0.4351287898576674,0.4636312937566705,-0.2928324259237185,0.46755027422303475
2025,buy_and_hold,2188,-0.06273181865801969,0.4446996722391765,0.07656459059089726,-0.3448529519004314,0.5054844606946983
2026,vol_scaled,1198,0.0675471384993025,0.3353647260441124,0.5237153083714432,-0.18164589267484565,0.4540901502504174
2026,fixed_size,1198,0.08942419844056082,0.43156303518470074,0.5782584918043531,-0.24111507633203189,0.4540901502504174
2026,buy_and_hold,1198,-0.260762253374192,0.4415729261317622,-1.0295073400796568,-0.40099260394204117,0.496661101836394
