date,dax_pre_open_return,nikkei_return,hsi_return,shanghai_return,dax_abs_move,asia_magnitude,vix_prior_close,gap_pct,dax_range_pct
2023-09-06,0.0030797357712006,0.0038037359089491,0.0024390331903347,0.0035700570366759,0.0030797357712006,0.0032709420453199,14.010000228881836,0.0026933588315595,0.0058099931310058
2023-09-07,0.0037498893221779,-0.0038489805031616,-0.0127680220000233,-0.0091239081012063,0.0037498893221779,0.0085803035347971,14.449999809265137,0.0069252056721931,0.0085137745564469
2023-09-11,-0.0016146014063262,-0.0068147942268274,0.0086279034957612,0.0070824223243872,0.0016146014063262,0.0075083733489919,13.84000015258789,0.0065991838049901,0.0061078191779934
2023-09-12,-0.0037142430956009,0.0045116373450941,0.0005733975414266,-0.0008875898134607,0.0037142430956009,0.0019908748999938,13.800000190734863,0.0034336954243703,0.0077220590163561
2023-09-13,0.0025580214888532,-0.00109245664473,-0.0067220912617446,-0.0039904714596606,0.0025580214888532,0.0039350064553784,14.229999542236328,0.000538118813541,0.0103495935659497
2023-09-14,0.0072391132855189,0.0073670016317595,-0.0029853680389425,0.0006102922040622,0.0072391132855189,0.0036542206249214,13.479999542236328,0.0048820879159934,0.0122536914617532
2023-09-15,-0.0015626455963039,0.0031305209904413,0.0015908804582493,-0.0055650863629255,0.0015626455963039,0.0034288292705387,12.81999969482422,0.0069715456780868,0.0056384997352502
2023-09-19,-0.0007598080348673,-0.0016110119447407,0.0030709727704396,0.0007400280169103,0.0007598080348673,0.0018073375773635,14.0,0.0021639661458783,0.0061129500770141
2023-09-20,0.0062472154788406,-0.0071425333409435,-0.0029906707707958,-0.0025330297540536,0.0062472154788406,0.0042220779552643,14.109999656677246,0.0028458718591191,0.0070699785148772
2023-09-21,-0.0035819191639102,-0.0089616397675045,-0.0078889748613009,-0.0055154323042297,0.0035819191639102,0.0074553489776784,15.140000343322754,0.0059736773274898,0.0094543422923533
2023-09-22,0.0048152209906728,0.0066198926128693,0.0272603465595653,0.0155300327240173,0.0048152209906728,0.0164700906321506,17.540000915527344,0.0024107195848348,0.0073924730758664
2023-09-25,-0.0082271158102538,0.004962268535634,-0.0175986860617436,-0.0033868196340786,0.0082271158102538,0.0086492580771521,17.200000762939453,0.0028114490481675,0.015384838130538
2023-09-26,-0.0019809728762332,-0.0099570923519118,-0.0110378710645638,-0.0031678127704495,0.0019809728762332,0.0080542587289751,16.899999618530273,0.0072416937531177,0.0062318569536167
2023-09-27,0.0018068123174186,0.0108836533866716,0.007999020760766,0.0023391955460974,0.0018068123174186,0.0070739565645117,18.940000534057617,0.0029353748138964,0.0058105980927194
2023-09-28,0.0008319547576667,-0.0076853816242231,-0.0121709107082669,-0.0022866397278423,0.0008319547576667,0.0073809773534441,18.21999931335449,0.0019001227135723,0.0090123515848244
2023-10-10,0.00719132902175,0.0137909604692438,-0.0034919433431007,-0.0087477902817624,0.00719132902175,0.008676898031369,17.700000762939453,0.0015267966687637,0.0083738130400242
2023-10-11,0.0065686794064128,0.0028074819166163,-0.0035490934910408,-0.0015525104906414,0.0065686794064128,0.0026363619660995,17.030000686645508,0.0026698665825293,0.0080934401985614
2023-10-12,-0.0070144899882023,0.0116347998996224,-0.0010980689497444,0.0016176599368813,0.0070144899882023,0.004783509595416,16.09000015258789,0.0014668805482771,0.0101211260617723
2023-10-13,-0.0061700634356079,-0.0003835758720204,-0.0074286523971823,-0.0006989335870888,0.0061700634356079,0.0028370539520972,16.690000534057617,0.0034585322670745,0.009933041177976
2023-10-16,-0.0004533230892367,-0.0101306747301853,-0.0091962279558748,-0.003427362862953,0.0004533230892367,0.0075847551830044,19.31999969482422,0.0052601543169061,0.0086158336098294
2023-10-17,-0.0051264811683935,-0.0007329140032138,-0.0018471413732246,0.0025026946112536,0.0051264811683935,0.0016942499958973,17.209999084472656,0.0073848157918441,0.0112369121525242
