strategy,trades,mean_trade_return,median_trade_return,win_rate,compounded_return,max_drawdown,simulations,p_equity_below_50pct,p_equity_below_25pct,p_equity_below_10pct,p_final_loss,median_final_equity,p05_final_equity,median_max_drawdown,p95_max_drawdown
stock_only,123,0.005147104215244226,-0.000400000000000022,0.4634146341463415,0.8320061247297763,0.121757525129315,5000,0.0004,0.0,0.0,0.0768,1.4697209699369096,0.9417911265817258,0.16308189191730474,0.3162803206539847
stock_plus_call_overlay,123,0.004961775144416882,-0.000400000000000022,0.4634146341463415,0.7902279623447432,0.121757525129315,5000,0.0006,0.0,0.0,0.0898,1.4395259750522964,0.9269424940690102,0.16651211668491017,0.3135208921356318
dynamic_stock_or_call,123,0.004839848446792148,-0.000400000000000022,0.4634146341463415,0.7627424019321376,0.121757525129315,5000,0.0002,0.0,0.0,0.1042,1.4147563016259557,0.8941286728526268,0.17237260131090604,0.3270324653290929
call_fractional_kelly,123,0.004927459423746926,0.0,0.12195121951219512,0.7028266823570535,0.27185495071665766,5000,0.009,0.0,0.0,0.2302,1.3371955857484856,0.7257338938321504,0.23565027019778062,0.4370260219006288
call_25pct,123,0.0036058311665354676,0.0,0.12195121951219512,0.5114693193265509,0.1695002435411861,5000,0.0022,0.0,0.0,0.2508,1.2036991951285694,0.7604944524481971,0.179664175956015,0.35936906248711525
