feature_set,option_policy,positive_stock_folds,positive_option_folds,selected_trades,mean_pairwise_auc,mean_stock_return_bps,compounded_stock_return,compounded_option_return,worst_option_fold,max_option_drawdown,mean_option_trade_return,mean_option_win_rate,total_option_total_losses
geometry,call_30d_delta40,4,4,582,0.6053075210906056,32.17894001012626,5.206099187760388,37728.89327501602,0.373794041008054,0.7620699760255533,0.02904240416918789,0.44114596023737607,0
geometry,call_14d_delta35,4,3,582,0.6053075210906056,32.17894001012626,5.206099187760388,16724.76186814989,-0.548348693047557,0.9363024159186566,0.04523580984785374,0.4173677668382239,0
geometry,call_45d_delta50,4,4,582,0.6053075210906056,32.17894001012626,5.206099187760388,9058.071518364668,0.7591664823862918,0.6275033993884691,0.021712830107643393,0.4484894477090687,0
baseline,call_30d_delta40,2,3,502,0.5480720819375345,16.60729799191354,2.1342095856178798,302.6420080339181,-0.32499922536520565,0.8211269568021036,0.020998568755822716,0.44212013582128334,0
baseline,call_45d_delta50,2,4,502,0.5480720819375345,16.60729799191354,2.1342095856178798,216.29811221127937,0.03700729167889816,0.6784633491187347,0.016290691297359723,0.4467501161272976,0
baseline,call_14d_delta35,2,1,502,0.5480720819375345,16.60729799191354,2.1342095856178798,15.927253283653208,-0.8404964780639741,0.9776359267143021,0.027760355109144822,0.38236949155498523,0
