timestamp,open,high,low,close,volume,simple_return,log_return,ema_fast,ema_slow,true_range,atr,atr_pct,trend_strength,prior_breakout_high,prior_breakout_low,up_breakout,down_breakout,rv_short,rv_long,vol_shock_ratio,volume_zscore,direction,vol_scalar,target_position,vol_shock,held_position,turnover,gross_strategy_return,execution_cost_return,funding_cost_return,strategy_return,equity,drawdown,breaker_active,benchmark_return,benchmark_equity,fixed_trend_equity,fixed_trend_return
2024-01-01 00:00:00+00:00,42241.1,42723.0,42241.1,42332.0,231.14039485,,,,,481.90000000000146,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.0,10000.0,10000.0,0.0
2024-01-01 04:00:00+00:00,42328.1,42497.6,42215.7,42471.1,59.51063427,0.003285930265520154,0.0032805433940289275,,,281.90000000000146,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.003285930265520154,10032.8593026552,10000.0,0.0
2024-01-01 08:00:00+00:00,42471.2,42756.3,42466.0,42686.1,106.55867014,0.005062265870203531,0.005049495681594572,,,290.3000000000029,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.005062265870203531,10083.648303883589,10000.0,0.0
2024-01-01 12:00:00+00:00,42686.1,42817.9,42587.9,42799.1,163.57551989,0.0026472317686554447,0.0026437340221741865,,,230.0,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.0026472317686554447,10110.342058017577,10000.0,0.0
2024-01-01 16:00:00+00:00,42799.1,43555.1,42692.9,43533.6,806.10857103,0.017161575827528974,0.01701597940045657,,,862.1999999999971,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.017161575827528974,10283.8514598885,10000.0,0.0
2024-01-01 20:00:00+00:00,43533.7,44187.5,43204.4,44180.8,1092.53873881,0.014866677692632946,0.014757251839355051,,,983.0999999999985,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.014866677692632946,10436.738164981576,10000.0,0.0
2024-01-02 00:00:00+00:00,44180.8,45499.3,44113.2,45421.0,2649.58276062,0.028071017274472032,0.027684247598677186,,,1386.1000000000058,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.028071017274472032,10729.708022299916,10000.0,0.0
2024-01-02 04:00:00+00:00,45421.0,45537.0,45165.5,45520.1,822.84187407,0.002181810175909682,0.002179433484453089,,,371.5,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,0.002181810175909682,10753.11820844751,10000.0,0.0
2024-01-02 08:00:00+00:00,45520.1,45913.4,45218.2,45450.0,652.24860851,-0.001539979042225248,-0.0015411660287299046,,,695.2000000000044,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,-0.0,0.0,0.0,-0.0,10000.0,0.0,False,-0.001539979042225248,10736.55863176793,10000.0,-0.0
2024-01-02 12:00:00+00:00,45455.0,45845.3,44696.0,45213.6,1052.32914135,-0.005201320132013243,-0.005214894086350633,,,1149.300000000003,,,,,,False,False,,,,,0.0,,0.0,False,0.0,0.0,-0.0,0.0,0.0,-0.0,10000.0,0.0,False,-0.005201320132013243,10680.714353207974,10000.0,-0.0
