param,value,label,total_return,max_drawdown,sharpe,calmar,exposure,drawdown_pause_bars,loss_cooldown_bars,hard_shutdown_ever
-,,baseline_no_breaker,6.1942588151586095,-0.3854745093685368,1.0325388999699543,0.673312005206639,0.4669229537081531,0,0,False
-,,buy_and_hold_btc,3.9047506308446156,-0.8163733647425963,0.6114625409234377,0.25033510215337784,1.0,0,0,False
-,,two_tier_safety_default,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
drawdown_pause,0.05,drawdown_pause=0.05,5.848499808534392,-0.25642242163460693,1.186210851469074,0.9839662384034676,0.31325751508356026,3964,60,False
drawdown_pause,0.075,drawdown_pause=0.075,5.411846614768759,-0.29761292831615327,1.0599273324182878,0.815489284384515,0.3757274814458861,2820,120,False
drawdown_pause,0.1,drawdown_pause=0.1,2.9696961137593965,-0.4459127914158383,0.7839979756657609,0.3923268257621654,0.41491804153985795,1860,240,False
drawdown_pause,0.125,drawdown_pause=0.125,5.388657675324708,-0.3937825066120604,1.0024459156005359,0.6149936966864262,0.43579475679427626,1080,360,False
drawdown_pause,0.15,drawdown_pause=0.15,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
drawdown_pause,0.2,drawdown_pause=0.2,6.551310818547072,-0.3760062657964818,1.0619229019237029,0.7092944391815529,0.45800630038976986,420,240,False
drawdown_pause,0.25,drawdown_pause=0.25,5.499780012675018,-0.4037850181165654,0.9951036551908702,0.6059687652475638,0.4513321586843932,180,300,False
consecutive_loss_limit_bars,4.0,consecutive_loss_limit_bars=4,2.2461421734584874,-0.23389232050066244,0.8867988765904746,0.6311426817025133,0.20919429761332692,180,5524,False
consecutive_loss_limit_bars,6.0,consecutive_loss_limit_bars=6,6.934283524680803,-0.32042440486842183,1.1496328343823712,0.8552668708731698,0.3924929254097923,600,1740,False
consecutive_loss_limit_bars,8.0,consecutive_loss_limit_bars=8,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
consecutive_loss_limit_bars,10.0,consecutive_loss_limit_bars=10,6.466826623806078,-0.3107185992549679,1.0643751154867986,0.8529701566777105,0.45229323508996744,780,60,False
consecutive_loss_limit_bars,12.0,consecutive_loss_limit_bars=12,6.1339503752325575,-0.3107185992549679,1.0421829247846903,0.8313159568284001,0.454482353569331,780,0,False
consecutive_loss_limit_bars,16.0,consecutive_loss_limit_bars=16,6.1339503752325575,-0.3107185992549679,1.0421829247846903,0.8313159568284001,0.454482353569331,780,0,False
consecutive_loss_limit_bars,20.0,consecutive_loss_limit_bars=20,6.1339503752325575,-0.3107185992549679,1.0421829247846903,0.8313159568284001,0.454482353569331,780,0,False
cooldown_bars,10.0,cooldown_bars=10,6.076421435406956,-0.3176065848170193,1.032541264240969,0.8095377142293199,0.4605157776709915,130,50,False
cooldown_bars,20.0,cooldown_bars=20,6.667473318046637,-0.2902204315522705,1.0732790425504797,0.926752235000454,0.45709861711783867,260,100,False
cooldown_bars,30.0,cooldown_bars=30,6.376261569088584,-0.2971022541016386,1.0563318426680692,0.8859904994012424,0.4552298574403332,390,150,False
cooldown_bars,45.0,cooldown_bars=45,6.498347957030678,-0.31571841629401587,1.0654215657198303,0.8414365603362662,0.45191948315446634,585,225,False
cooldown_bars,60.0,cooldown_bars=60,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
cooldown_bars,90.0,cooldown_bars=90,4.8964799491646405,-0.34803717830568903,0.9617629168612726,0.662524544788883,0.44161460836136474,1170,450,False
cooldown_bars,120.0,cooldown_bars=120,4.649923424207385,-0.31152803952640173,0.9460542727874582,0.7204872336279975,0.43419296278498587,1560,480,False
hard_shutdown_drawdown,0.2,hard_shutdown_drawdown=0.2,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
hard_shutdown_drawdown,0.25,hard_shutdown_drawdown=0.25,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
hard_shutdown_drawdown,0.3,hard_shutdown_drawdown=0.3,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
hard_shutdown_drawdown,0.35,hard_shutdown_drawdown=0.35,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
hard_shutdown_drawdown,0.4,hard_shutdown_drawdown=0.4,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
hard_shutdown_drawdown,0.45,hard_shutdown_drawdown=0.45,6.004556036838863,-0.3107185992549669,1.0362873897336302,0.8226570981654193,0.4487158951358855,780,300,False
