feature_set,option_policy,positive_stock_folds,positive_option_folds,selected_trades,mean_pairwise_auc,mean_stock_return_bps,compounded_stock_return,compounded_option_return,worst_option_fold,max_option_drawdown,mean_option_trade_return,mean_option_win_rate,total_option_total_losses
geometry,call_30d_delta40,4,4,604,0.6053075210906056,30.26038149642217,4.93113677952085,23543.615720602385,0.373794041008054,0.7620699760255533,0.0273150748539703,0.43031790673916487,0
geometry,call_45d_delta50,4,4,604,0.6053075210906056,30.26038149642217,4.93113677952085,6637.323550499342,0.7591664823862918,0.6275033993884691,0.0203951417053472,0.4371771944147311,0
geometry,call_14d_delta35,4,3,604,0.6053075210906056,30.26038149642217,4.93113677952085,5528.334539755621,-0.548348693047557,0.9363024159186566,0.042359572211641605,0.4051707705378147,0
baseline,call_30d_delta40,2,3,526,0.5480720819375345,17.71263643243124,2.533317950506983,1067.9464283121508,-0.11857925636318989,0.776990854874656,0.01953845062790859,0.42535752351911216,0
baseline,call_45d_delta50,2,4,526,0.5480720819375345,17.71263643243124,2.533317950506983,589.9339434405842,0.00834131326967813,0.6442401004029772,0.015089755789988776,0.42992201416971276,0
baseline,call_14d_delta35,2,2,526,0.5480720819375345,17.71263643243124,2.533317950506983,70.34538886411599,-0.6685071602470412,0.9328148436461713,0.026258546641825618,0.3764318236444709,0
