strategy,side,entry_timestamp,last_active_timestamp,exit_timestamp,entry_close,exit_close,active_bars,calendar_bars,active_days,trade_return,pnl,winning_trade
vol_scaled,long,2018-03-03 08:00:00+00:00,2018-03-08 12:00:00+00:00,2018-03-08 16:00:00+00:00,11275.0,9928.98,32,33,5.333333333333333,-0.07566011561431096,-756.6011561431096,False
vol_scaled,long,2018-04-21 12:00:00+00:00,2018-05-14 04:00:00+00:00,2018-05-14 08:00:00+00:00,8819.12,8384.81,136,137,22.666666666666668,-0.03188859219625728,-294.75897623910714,False
vol_scaled,long,2018-07-19 08:00:00+00:00,2018-08-07 00:00:00+00:00,2018-08-07 04:00:00+00:00,7413.42,6926.44,113,114,18.833333333333332,-0.06990800303712597,-625.5815430435632,False
vol_scaled,short,2018-08-08 04:00:00+00:00,2018-08-08 08:00:00+00:00,2018-08-08 12:00:00+00:00,6456.01,6515.01,2,3,0.3333333333333333,0.0023787005397812866,19.798063329295474,True
vol_scaled,short,2018-08-08 20:00:00+00:00,2018-08-08 20:00:00+00:00,2018-08-09 00:00:00+00:00,6282.5,6282.5,1,2,0.16666666666666666,0.0017604240419502037,14.686964963802893,True
vol_scaled,short,2018-08-14 04:00:00+00:00,2018-08-14 04:00:00+00:00,2018-08-14 08:00:00+00:00,6039.01,6039.01,1,2,0.16666666666666666,-0.0019698302157932224,-16.46294142627994,False
vol_scaled,long,2018-08-31 20:00:00+00:00,2018-09-07 04:00:00+00:00,2018-09-07 08:00:00+00:00,7015.01,6485.01,39,40,6.5,-0.06269074274044273,-522.9085262509998,False
vol_scaled,short,2018-09-08 20:00:00+00:00,2018-09-08 20:00:00+00:00,2018-09-09 00:00:00+00:00,6188.0,6188.0,1,2,0.16666666666666666,-0.0009905653526889324,-7.744410190835879,False
vol_scaled,short,2018-10-11 04:00:00+00:00,2018-10-11 04:00:00+00:00,2018-10-11 08:00:00+00:00,6207.53,6207.53,1,2,0.16666666666666666,2.714491641531147e-05,0.21201340097650245,True
vol_scaled,short,2018-11-14 16:00:00+00:00,2018-11-14 20:00:00+00:00,2018-11-15 00:00:00+00:00,5525.5,5605.46,2,3,0.3333333333333333,0.04163359975567649,325.18503829593465,True
vol_scaled,short,2018-11-19 16:00:00+00:00,2018-11-20 00:00:00+00:00,2018-11-20 04:00:00+00:00,4954.21,4803.99,3,4,0.5,0.00615474451737974,50.07392140004595,True
vol_scaled,short,2018-11-20 08:00:00+00:00,2018-11-20 12:00:00+00:00,2018-11-20 16:00:00+00:00,4319.52,4749.81,2,3,0.3333333333333333,-0.0037416206070142177,-30.628526320322635,False
vol_scaled,short,2018-11-25 00:00:00+00:00,2018-11-25 04:00:00+00:00,2018-11-25 08:00:00+00:00,3638.07,3706.48,2,3,0.3333333333333333,0.0009895879607331182,8.070356931119022,True
vol_scaled,short,2018-12-07 00:00:00+00:00,2018-12-07 04:00:00+00:00,2018-12-07 08:00:00+00:00,3329.78,3373.77,2,3,0.3333333333333333,0.00268918912177063,21.95276587481112,True
vol_scaled,short,2018-12-14 20:00:00+00:00,2018-12-14 20:00:00+00:00,2018-12-15 00:00:00+00:00,3195.71,3195.71,1,2,0.16666666666666666,-0.002065591918070653,-16.907475159928254,False
vol_scaled,short,2019-01-13 20:00:00+00:00,2019-01-13 20:00:00+00:00,2019-01-14 00:00:00+00:00,3514.24,3514.24,1,2,0.16666666666666666,-0.0014746757150169154,-12.045719830121016,False
vol_scaled,short,2019-01-29 08:00:00+00:00,2019-01-29 08:00:00+00:00,2019-01-29 12:00:00+00:00,3375.0,3375.0,1,2,0.16666666666666666,-0.0034549755471191546,-28.17995473433257,False
vol_scaled,long,2019-02-19 04:00:00+00:00,2019-07-23 12:00:00+00:00,2019-07-23 16:00:00+00:00,3889.4,9936.67,925,926,154.16666666666666,1.0016311017910842,8141.417751020047,True
vol_scaled,long,2019-08-04 08:00:00+00:00,2019-08-16 16:00:00+00:00,2019-08-16 20:00:00+00:00,10682.28,10468.24,75,76,12.5,-0.005973952568167795,-97.19368516059694,False
vol_scaled,short,2019-09-24 20:00:00+00:00,2019-09-24 20:00:00+00:00,2019-09-25 00:00:00+00:00,8530.01,8530.01,1,2,0.16666666666666666,-0.00018587081236598468,-3.0059741446730186,False
vol_scaled,short,2019-09-26 16:00:00+00:00,2019-09-26 16:00:00+00:00,2019-09-26 20:00:00+00:00,8129.99,8129.99,1,2,0.16666666666666666,-0.005149246674338914,-83.26011582348474,False
vol_scaled,short,2019-10-23 16:00:00+00:00,2019-10-23 16:00:00+00:00,2019-10-23 20:00:00+00:00,7488.7,7488.7,1,2,0.16666666666666666,-0.002949881007127564,-47.45213358533874,False
vol_scaled,long,2019-10-29 04:00:00+00:00,2019-11-12 12:00:00+00:00,2019-11-12 16:00:00+00:00,9453.58,8680.01,86,87,14.333333333333334,-0.061387368259211095,-984.5714799936341,False
vol_scaled,short,2019-11-15 04:00:00+00:00,2019-11-15 04:00:00+00:00,2019-11-15 08:00:00+00:00,8544.62,8544.62,1,2,0.16666666666666666,-0.001287693385261024,-19.38505759605323,False
vol_scaled,short,2019-11-15 16:00:00+00:00,2019-11-15 16:00:00+00:00,2019-11-15 20:00:00+00:00,8472.08,8472.08,1,2,0.16666666666666666,-0.0014545900134662615,-21.869337857069695,False
vol_scaled,short,2019-11-18 20:00:00+00:00,2019-11-18 20:00:00+00:00,2019-11-19 00:00:00+00:00,8168.84,8168.84,1,2,0.16666666666666666,0.0008082130420199451,12.133572973996706,True
vol_scaled,short,2019-11-21 12:00:00+00:00,2019-11-21 16:00:00+00:00,2019-11-21 20:00:00+00:00,7609.65,7616.54,2,3,0.3333333333333333,0.013555371791095894,203.66910105857278,True
vol_scaled,short,2019-11-22 12:00:00+00:00,2019-11-22 12:00:00+00:00,2019-11-22 16:00:00+00:00,7122.03,7122.03,1,2,0.16666666666666666,-0.0014881844485865603,-22.663028994786146,False
vol_scaled,short,2019-11-25 04:00:00+00:00,2019-11-25 04:00:00+00:00,2019-11-25 08:00:00+00:00,6675.89,6675.89,1,2,0.16666666666666666,-0.0005096876210453072,-7.75029952046134,False
vol_scaled,short,2019-12-17 16:00:00+00:00,2019-12-17 20:00:00+00:00,2019-12-18 00:00:00+00:00,6614.01,6616.62,2,3,0.3333333333333333,0.0038616705072545,58.69055349206792,True
vol_scaled,long,2020-01-07 20:00:00+00:00,2020-02-27 20:00:00+00:00,2020-02-28 00:00:00+00:00,8158.52,8812.49,306,307,51.0,0.11457262129535462,1748.025289879277,True
vol_scaled,short,2020-03-08 20:00:00+00:00,2020-03-09 00:00:00+00:00,2020-03-09 04:00:00+00:00,8037.76,8075.27,2,3,0.3333333333333333,0.008073837757991864,137.29516742215128,True
vol_scaled,short,2020-03-09 08:00:00+00:00,2020-03-09 08:00:00+00:00,2020-03-09 12:00:00+00:00,7814.97,7814.97,1,2,0.16666666666666666,0.002815929378945148,48.27133785088154,True
vol_scaled,short,2020-03-12 08:00:00+00:00,2020-03-12 12:00:00+00:00,2020-03-12 16:00:00+00:00,6080.0,6134.04,2,3,0.3333333333333333,0.03904957727691816,671.2822094310213,True
vol_scaled,short,2020-03-13 00:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-13 04:00:00+00:00,5380.63,5380.63,1,2,0.16666666666666666,-0.004285983983156272,-76.5553619885577,False
vol_scaled,long,2020-04-24 08:00:00+00:00,2020-06-27 04:00:00+00:00,2020-06-27 08:00:00+00:00,7492.73,9166.6,384,385,64.0,0.08600169369190924,1529.560625399983,True
vol_scaled,long,2020-07-23 00:00:00+00:00,2020-09-04 12:00:00+00:00,2020-09-04 16:00:00+00:00,9508.13,10434.76,262,263,43.666666666666664,0.0895707916642019,1730.041839837515,True
vol_scaled,long,2020-10-10 04:00:00+00:00,2021-04-22 04:00:00+00:00,2021-04-22 08:00:00+00:00,11387.11,54158.68,1164,1165,194.0,1.372788845376085,28890.122797071333,True
vol_scaled,long,2021-05-03 20:00:00+00:00,2021-05-04 12:00:00+00:00,2021-05-04 16:00:00+00:00,57212.73,53835.65,5,6,0.8333333333333334,-0.03788666861503076,-1891.8694207033186,False
vol_scaled,long,2021-05-07 16:00:00+00:00,2021-05-12 20:00:00+00:00,2021-05-13 00:00:00+00:00,57628.53,49498.77,32,33,5.333333333333333,-0.07534690984818027,-3619.898690900074,False
vol_scaled,short,2021-05-19 04:00:00+00:00,2021-05-19 04:00:00+00:00,2021-05-19 08:00:00+00:00,40383.73,40383.73,1,2,0.16666666666666666,0.00038856706943368735,17.26139091130608,True
vol_scaled,short,2021-07-19 16:00:00+00:00,2021-07-19 16:00:00+00:00,2021-07-19 20:00:00+00:00,30738.97,30738.97,1,2,0.16666666666666666,-0.001315620540803808,-58.46677799947065,False
