"Variant","EndingEquity","CAGR","Sharpe","MaxDrawdown","Calmar","Exposure","Turnover","ShortTrades","ShortWins","ShortPnL"
"long_flat_no_breaker","0","0","0","0","0","0","0","0","0","0"
"short_a_strict","284288.221713085","0.479660389914406","1.15447786910032","-0.440397096962938","1.08915429557151","0.473571695793918","173","91","39","10916.7918453198"
"short_b_regime","284288.221713085","0.479660389914406","1.15447786910032","-0.440397096962938","1.08915429557151","0.473571695793918","173","91","39","10916.7918453198"
"short_c_regime_stop","284288.221713085","0.479660389914406","1.15447786910032","-0.440397096962938","1.08915429557151","0.473571695793918","173","91","39","10916.7918453198"
