fold,train_candidates,calibration_candidates,test_candidates,selected_trades,residual_std_bps,expected_hold_sessions,mean_predicted_return_bps,mean_realized_stock_bps,option_available_rate
1,206,52,96,0,185.58882918077722,0.38461538461538464,,,
2,283,71,96,25,176.47338263128208,0.38461538461538464,12.269252576992844,-27.262815927488226,0.0
3,360,90,100,41,219.5495220182429,0.38461538461538464,25.762716861217122,-23.147358730483532,0.024390243902439025
4,440,110,89,23,215.32751570821856,0.38461538461538464,19.668296575437548,29.809197665769037,0.08695652173913043
