timestamp,open,high,low,close,volume
2018-01-01 00:00:00+00:00,13863.14,13885.34,13320.01,13474.0,2951.40529006
2018-01-01 04:00:00+00:00,13474.0,13889.0,13361.01,13601.27,1867.40520637
2018-01-01 08:00:00+00:00,13601.29,13700.0,13188.0,13279.99,1113.8689859400001
2018-01-01 12:00:00+00:00,13280.0,13399.0,12952.5,13255.29,2132.88773142
2018-01-01 16:00:00+00:00,13250.37,13350.0,13035.0,13345.47,1914.15035718
2018-01-01 20:00:00+00:00,13345.47,13772.59,13345.46,13480.01,2315.28896482
2018-01-02 00:00:00+00:00,13480.0,13999.0,13310.66,13372.95,4996.10465057
2018-01-02 04:00:00+00:00,13372.96,13438.99,13005.0,13423.34,2499.48596676
2018-01-02 08:00:00+00:00,13423.34,13750.0,13423.33,13645.41,1684.84497872
2018-01-02 12:00:00+00:00,13640.01,13991.97,13580.0,13741.01,2872.5451436900003
2018-01-02 16:00:00+00:00,13741.01,15275.0,13680.0,14790.01,9841.382936760001
2018-01-02 20:00:00+00:00,14790.01,15177.02,14700.0,14781.51,4493.57125786
2018-01-03 00:00:00+00:00,14781.52,15198.88,14761.0,14900.04,3682.26871714
2018-01-03 04:00:00+00:00,14907.5,15400.0,14904.21,15308.0,2789.1032921
2018-01-03 08:00:00+00:00,15308.0,15308.0,14629.0,14903.13,2175.13219761
2018-01-03 12:00:00+00:00,14903.14,15100.0,14628.0,15085.0,2144.90835878
2018-01-03 16:00:00+00:00,15085.01,15250.0,14775.0,14789.0,3913.03047626
2018-01-03 20:00:00+00:00,14789.0,15098.14,14780.0,15098.14,3173.05224457
2018-01-04 00:00:00+00:00,15098.23,15400.0,14926.26,15150.01,4033.27370714
2018-01-04 04:00:00+00:00,15150.02,15150.02,14863.69,14920.0,2913.14656432
2018-01-04 08:00:00+00:00,14920.01,14945.99,14230.0,14603.19,3558.32912696
2018-01-04 12:00:00+00:00,14603.19,14699.06,14400.0,14620.01,3153.54173848
2018-01-04 16:00:00+00:00,14620.01,14998.0,14500.0,14997.99,3111.4504173
2018-01-04 20:00:00+00:00,14997.99,15165.0,14860.97,15144.99,3240.6947882900004
2018-01-05 00:00:00+00:00,15145.0,15176.86,14950.0,14959.0,2087.71358194
2018-01-05 04:00:00+00:00,14959.0,15068.1,14819.78,14953.99,1910.99807183
2018-01-05 08:00:00+00:00,14953.99,16097.0,14953.98,16000.0,5647.34681968
2018-01-05 12:00:00+00:00,16000.01,16102.0,15714.01,16048.98,2344.78886876
2018-01-05 16:00:00+00:00,16048.99,16586.0,16048.98,16441.19,5483.17456493
2018-01-05 20:00:00+00:00,16441.18,17178.0,16320.0,16960.01,5443.75876177
2018-01-06 00:00:00+00:00,16960.01,16999.0,16519.0,16571.78,3380.08510861
2018-01-06 04:00:00+00:00,16570.86,16682.0,16404.99,16509.99,2167.65878472
2018-01-06 08:00:00+00:00,16510.0,16684.0,16328.03,16501.0,1199.17595777
2018-01-06 12:00:00+00:00,16501.0,16650.0,16251.01,16598.0,1893.83109082
2018-01-06 16:00:00+00:00,16597.99,16984.8,16528.1,16731.0,2466.69618172
2018-01-06 20:00:00+00:00,16731.0,17174.0,16712.2,17098.99,2996.76679632
2018-01-07 00:00:00+00:00,17099.0,17115.01,16666.6,16743.19,2042.7799866799999
2018-01-07 04:00:00+00:00,16743.19,16807.06,16355.0,16744.0,2280.66369855
2018-01-07 08:00:00+00:00,16744.0,16850.0,16625.0,16626.97,618.88055508
2018-01-07 12:00:00+00:00,16626.97,16626.97,16401.0,16502.01,1066.48549206
2018-01-07 16:00:00+00:00,16502.01,16502.01,15755.01,16123.0,4459.39103715
2018-01-07 20:00:00+00:00,16122.99,16460.0,16020.0,16174.22,1872.88007935
2018-01-08 00:00:00+00:00,16174.22,16275.0,15511.0,15646.3,3814.80466038
2018-01-08 04:00:00+00:00,15646.3,15940.02,15552.9,15900.03,1702.1140197500001
2018-01-08 08:00:00+00:00,15900.04,15900.04,15189.0,15520.0,2154.57564808
2018-01-08 12:00:00+00:00,15515.0,15552.76,14000.0,14621.56,7481.98091421
2018-01-08 16:00:00+00:00,14621.56,15165.0,14602.01,15120.0,4337.48609326
2018-01-08 20:00:00+00:00,15120.0,15148.27,14615.0,14993.74,3661.00328627
2018-01-09 00:00:00+00:00,14993.73,15340.0,14879.55,15263.6,2343.54055393
2018-01-09 04:00:00+00:00,15260.0,15384.0,14805.0,15147.35,1772.50029954
2018-01-09 08:00:00+00:00,15147.35,15259.01,14539.75,14808.99,1259.99895048
2018-01-09 12:00:00+00:00,14808.98,14875.0,14230.0,14699.01,4274.90110896
2018-01-09 16:00:00+00:00,14699.01,15028.85,14650.02,14742.91,2560.61230668
2018-01-09 20:00:00+00:00,14742.91,14808.48,14270.0,14480.99,3173.07142542
2018-01-10 00:00:00+00:00,14481.0,14525.0,14023.14,14163.0,4294.05149904
2018-01-10 04:00:00+00:00,14163.0,14390.0,14118.0,14164.19,2704.4263019
2018-01-10 08:00:00+00:00,14164.2,14180.0,13550.01,14130.01,4351.80329189
2018-01-10 12:00:00+00:00,14130.01,14490.0,13610.81,14406.98,3602.63639525
2018-01-10 16:00:00+00:00,14406.98,14669.98,14255.04,14349.01,4095.4279007699997
2018-01-10 20:00:00+00:00,14349.01,14875.18,14259.98,14875.18,3616.19974749
2018-01-11 00:00:00+00:00,14875.17,14970.0,13100.0,13325.99,7432.49067224
2018-01-11 04:00:00+00:00,13325.98,13763.5,12800.01,13644.98,9620.01913106
2018-01-11 08:00:00+00:00,13644.98,13888.0,13250.0,13499.6,1749.8890476699999
2018-01-11 12:00:00+00:00,13499.6,14193.5,13470.41,13995.0,3044.59557091
2018-01-11 16:00:00+00:00,13995.0,14125.0,13162.88,13401.23,3133.6388319000002
2018-01-11 20:00:00+00:00,13401.23,13549.0,12916.18,13308.06,3908.48805607
2018-01-12 00:00:00+00:00,13308.06,13699.99,12900.0,13645.0,4318.88767517
2018-01-12 04:00:00+00:00,13645.01,13800.0,13437.12,13631.36,2066.3235058
2018-01-12 08:00:00+00:00,13631.36,14080.83,13387.33,13960.1,1708.5258429599999
2018-01-12 12:00:00+00:00,13960.1,14055.66,13612.47,13612.47,2144.31620686
2018-01-12 16:00:00+00:00,13612.47,13799.43,13379.99,13767.94,2371.77134697
2018-01-12 20:00:00+00:00,13767.94,13949.9,13600.0,13820.0,2206.9478320099997
2018-01-13 00:00:00+00:00,13820.0,14299.99,13792.25,14158.22,3343.33074666
2018-01-13 04:00:00+00:00,14158.21,14400.0,14070.0,14367.5,1493.0442148
2018-01-13 08:00:00+00:00,14367.51,14367.51,14111.0,14220.02,747.33178289
2018-01-13 12:00:00+00:00,14220.02,14500.0,14147.33,14247.13,1761.68842747
2018-01-13 16:00:00+00:00,14247.13,14360.0,14001.0,14076.63,1736.66013331
2018-01-13 20:00:00+00:00,14076.63,14320.0,14070.0,14187.95,1409.0495495999999
2018-01-14 00:00:00+00:00,14187.94,14332.85,14150.0,14203.91,1219.44496429
2018-01-14 04:00:00+00:00,14203.91,14235.0,13599.0,13770.01,2435.32678119
2018-01-14 08:00:00+00:00,13770.01,13817.14,13500.0,13553.45,1116.0129945
2018-01-14 12:00:00+00:00,13553.45,13696.09,13110.0,13286.02,2567.98560635
2018-01-14 16:00:00+00:00,13286.01,13645.39,13171.0,13406.8,2022.87744313
2018-01-14 20:00:00+00:00,13406.77,13750.67,13358.74,13656.23,1421.74534867
2018-01-15 00:00:00+00:00,13656.23,13750.0,13416.0,13531.43,1546.9573004899999
2018-01-15 04:00:00+00:00,13531.44,13773.0,13504.27,13642.56,1097.24627506
2018-01-15 08:00:00+00:00,13642.57,13779.57,13543.89,13759.91,1009.0751869000001
2018-01-15 12:00:00+00:00,13770.65,14253.0,13690.0,14047.99,2849.22634917
2018-01-15 16:00:00+00:00,14048.0,14125.0,13800.0,13899.99,2056.95503366
2018-01-15 20:00:00+00:00,13900.0,13941.8,13475.68,13590.0,1952.3802858
2018-01-16 00:00:00+00:00,13590.0,13643.66,12731.56,12951.14,9629.10340879
2018-01-16 04:00:00+00:00,12951.13,13240.0,12555.0,12605.22,2764.96366356
2018-01-16 08:00:00+00:00,12605.23,12700.0,11204.0,12441.52,10756.65381274
2018-01-16 12:00:00+00:00,12441.52,12579.14,11375.0,12378.53,7493.53359397
2018-01-16 16:00:00+00:00,12373.91,12442.44,11064.0,11550.0,9743.693180940001
2018-01-16 20:00:00+00:00,11550.0,11734.0,9928.62,11570.01,21819.88530297
2018-01-17 00:00:00+00:00,11570.01,12358.89,10545.84,11018.94,10145.30409605
2018-01-17 04:00:00+00:00,11018.93,11445.0,10650.0,11231.0,4789.37803024
2018-01-17 08:00:00+00:00,11229.95,11231.0,10015.0,10206.3,4834.17926667
2018-01-17 12:00:00+00:00,10206.0,10794.2,9005.0,9479.99,15985.53059783
2018-01-17 16:00:00+00:00,9489.09,10659.0,9425.99,10494.55,12909.916237649999
2018-01-17 20:00:00+00:00,10494.55,11634.12,10390.0,11200.01,15292.92456084
2018-01-18 00:00:00+00:00,11204.64,11800.0,10865.15,11370.01,7001.32714167
2018-01-18 04:00:00+00:00,11370.01,11593.03,10687.21,10737.99,4207.69720169
2018-01-18 08:00:00+00:00,10737.99,11636.01,10701.0,11584.62,2038.40270147
2018-01-18 12:00:00+00:00,11571.67,12123.1,11525.77,12020.82,7023.8938639200005
2018-01-18 16:00:00+00:00,12019.97,12019.97,11520.0,11801.0,5009.65024334
2018-01-18 20:00:00+00:00,11801.0,11995.0,11112.03,11305.53,4853.6765741300005
2018-01-19 00:00:00+00:00,11305.53,11645.0,11050.0,11183.81,3251.46916675
2018-01-19 04:00:00+00:00,11183.8,11594.0,11061.86,11419.86,2452.4260599
2018-01-19 08:00:00+00:00,11419.86,11848.96,11250.0,11760.02,2244.09169783
2018-01-19 12:00:00+00:00,11760.01,11973.99,11428.21,11550.0,2782.3735165099997
2018-01-19 16:00:00+00:00,11550.0,11699.0,11065.34,11258.72,3261.56132562
2018-01-19 20:00:00+00:00,11258.73,11545.0,11201.07,11498.99,1967.38699513
2018-01-20 00:00:00+00:00,11499.0,11798.21,11498.99,11731.46,2564.05045142
2018-01-20 04:00:00+00:00,11731.46,12692.29,11557.49,12535.24,7687.37769263
2018-01-20 08:00:00+00:00,12535.24,12707.08,12301.0,12301.01,1466.21693162
2018-01-20 12:00:00+00:00,12301.02,12710.0,12256.01,12542.25,1656.61345876
2018-01-20 16:00:00+00:00,12542.01,12985.55,12537.34,12762.72,3629.3474666399998
2018-01-20 20:00:00+00:00,12762.66,12929.99,12616.0,12762.8,1746.35039219
2018-01-21 00:00:00+00:00,12762.8,12762.8,12351.26,12500.0,2859.44218791
2018-01-21 04:00:00+00:00,12500.01,12500.01,11722.2,11937.03,3725.94626384
2018-01-21 08:00:00+00:00,11937.03,12147.21,11666.66,12147.21,1401.85485163
2018-01-21 12:00:00+00:00,12147.21,12224.0,11550.92,11550.92,1859.52043678
2018-01-21 16:00:00+00:00,11550.93,11649.0,11223.0,11488.09,3696.37139788
2018-01-21 20:00:00+00:00,11488.09,11542.43,11118.0,11518.17,2883.04263021
2018-01-22 00:00:00+00:00,11518.17,11709.99,11245.0,11498.8,2518.8838032099998
2018-01-22 04:00:00+00:00,11498.81,11739.96,11348.0,11720.0,1757.2440399900001
2018-01-22 08:00:00+00:00,11719.99,11849.0,11306.0,11306.01,1300.75196224
2018-01-22 12:00:00+00:00,11306.01,11345.77,10222.0,10408.92,7178.789293
2018-01-22 16:00:00+00:00,10408.92,10752.7,10318.81,10590.0,4989.476451009999
2018-01-22 20:00:00+00:00,10590.0,10850.0,10025.0,10766.7,6607.4249080399995
2018-01-23 00:00:00+00:00,10766.7,10972.0,10609.66,10840.23,3271.59651337
2018-01-23 04:00:00+00:00,10840.22,10923.81,10161.0,10289.99,4287.61470028
2018-01-23 08:00:00+00:00,10289.99,10717.97,9945.0,10176.59,2723.85592327
2018-01-23 12:00:00+00:00,10176.6,10760.0,10055.37,10735.02,3025.63035051
2018-01-23 16:00:00+00:00,10735.03,11370.0,10735.02,10950.0,5654.56918181
2018-01-23 20:00:00+00:00,10953.85,11164.5,10750.42,10824.94,2933.7628050000003
2018-01-24 00:00:00+00:00,10824.95,10890.0,10561.03,10820.07,2942.70367426
2018-01-24 04:00:00+00:00,10820.07,11099.0,10450.0,10920.33,2679.57421214
2018-01-24 08:00:00+00:00,10920.33,11142.0,10750.0,10999.0,1381.18854197
2018-01-24 12:00:00+00:00,10999.0,11450.0,10950.43,11043.01,3558.19595921
2018-01-24 16:00:00+00:00,11043.02,11200.0,10801.0,11173.95,2493.61743045
2018-01-24 20:00:00+00:00,11173.96,11385.0,11089.0,11356.79,2104.46635699
2018-01-25 00:00:00+00:00,11356.8,11690.0,11238.63,11610.0,4114.25077506
2018-01-25 04:00:00+00:00,11610.01,11620.0,11305.0,11360.01,2430.7954722199997
