fold,selected_trades,mean_stock_return,extreme_bull_signals,overlay_eligible,mean_option_return
1,60,0.001919769773467295,6,3,-0.04108684884395906
2,35,0.005967810773421424,12,0,
3,38,0.006878548260818475,9,0,-0.14142041875958578
4,64,0.005827652494043779,11,4,0.09799764734760291
