fold,train_candidates,calibration_candidates,test_candidates,selected_trades,residual_std_bps,expected_hold_sessions,mean_predicted_return_bps,mean_realized_stock_bps,option_available_rate
1,348,88,159,60,138.32205059357446,0.38461538461538464,59.03108116883831,19.197697734672946,0.26666666666666666
2,476,119,164,35,173.89019439429978,0.38461538461538464,7.087349098946393,59.67810773421426,0.0
3,607,152,167,38,210.02608947246588,0.38461538461538464,32.06270436703686,68.78548260818475,0.02631578947368421
4,740,186,165,64,171.06479412172754,0.38461538461538464,54.05687456615793,58.276524940437774,0.359375
