strategy,trades,mean_trade_return,win_rate,compounded_return,max_drawdown,simulations,p_equity_below_50pct,p_equity_below_25pct,p_equity_below_10pct,p_final_loss,median_final_equity,p05_final_equity,median_max_drawdown,p95_max_drawdown
additive_fixed_30,197,0.005394352613081434,0.48223350253807107,1.715724714959903,0.18219498592479644,2000,0.0025,0.0,0.0,0.0485,1.9267085213162929,1.0033468234298986,0.2198053901226767,0.3822336157571509
additive_fixed_20,197,0.005217917236145136,0.48223350253807107,1.6564739956823709,0.1405436383057863,2000,0.001,0.0,0.0,0.042,1.8339635429528387,1.0246219838468282,0.2046400751239939,0.3642590544694553
additive_fixed_10,197,0.005041481859208841,0.48223350253807107,1.5883906895874853,0.1089778840950022,2000,0.0015,0.0,0.0,0.0445,1.8091609331060656,1.0182812422744523,0.19163337693622978,0.3561144199883476
additive_tiered,197,0.0050079620993860345,0.48223350253807107,1.5641102854047606,0.12853693112882347,2000,0.0005,0.0,0.0,0.0485,1.8143907973906712,1.0045016249708703,0.19829078802324157,0.3619415950042864
additive_fixed_05,197,0.004953264170740692,0.48223350253807107,1.5511613453990534,0.10283979172137703,2000,0.0,0.0,0.0,0.0385,1.7832246281746824,1.0396435709415928,0.19000404886718228,0.3418530611469349
stock_only,197,0.0048650464822725436,0.4873096446700508,1.5118819531828742,0.09670169934775152,2000,0.0,0.0,0.0,0.054,1.7429044796570818,0.9896353398053006,0.1904790056641426,0.3457408501492363
