fold,train_candidates,calibration_candidates,test_candidates,selected_trades,residual_std_bps,expected_hold_sessions,mean_predicted_return_bps,mean_realized_stock_bps,option_available_rate
1,124,31,58,24,388.94451391339067,0.38461538461538464,221.83165275490887,-33.54805499351605,0.9166666666666666
2,170,43,56,20,184.0255016240452,0.38461538461538464,13.705564316334977,28.243071787380433,0.0
3,215,54,62,29,223.55510199258057,0.38461538461538464,58.98693716134396,-39.402831699640345,0.6551724137931034
4,264,67,62,18,211.27052046105794,0.38461538461538464,30.21782500227506,69.75612411104298,0.1111111111111111
