market,profile,test_candidates,accept_count,accept_rate,unfiltered_mean_net_bps,filtered_mean_net_bps,unfiltered_return,filtered_return,unfiltered_max_drawdown,filtered_max_drawdown,median_hold_bars,accepted_good_fraction,entry_price,exit_price
bull,fixed_4h,4,2,0.5,14.397300444160683,14.401750075489078,0.00577136847035753,0.0028824238897329213,0.0,0.0,22.0,1.0,,
bull,fixed_1d,4,3,0.75,14.397300444160683,14.33616173811894,0.00577136847035753,0.004307016874901093,0.0,0.0,22.0,1.0,,
bull,adaptive_fast_4h,4,1,0.25,14.397300444160683,14.553215396341384,0.00577136847035753,0.0014553215396342356,0.0,0.0,22.0,1.0,,
bull,adaptive_balanced_1d,4,3,0.75,14.397300444160683,14.33616173811894,0.00577136847035753,0.004307016874901093,0.0,0.0,22.0,1.0,,
bull,adaptive_patient_1d,4,2,0.5,14.397300444160683,14.401750075489078,0.00577136847035753,0.0028824238897329213,0.0,0.0,22.0,1.0,,
bull,buy_and_hold,1,1,1.0,1811.7833479659596,1811.7833479659596,0.18117833479659595,0.18117833479659595,0.013084262441517051,0.013084262441517051,15999.0,,66812.31549820966,79111.0152790249
bear,fixed_4h,2,0,0.0,13.893885784436316,,0.002780705505992298,0.0,0.0,0.0,19.0,,,
bear,fixed_1d,2,0,0.0,13.893885784436316,,0.002780705505992298,0.0,0.0,0.0,19.0,,,
bear,adaptive_fast_4h,2,0,0.0,13.893885784436316,,0.002780705505992298,0.0,0.0,0.0,19.0,,,
bear,adaptive_balanced_1d,2,0,0.0,13.893885784436316,,0.002780705505992298,0.0,0.0,0.0,19.0,,,
bear,adaptive_patient_1d,2,0,0.0,13.893885784436316,,0.002780705505992298,0.0,0.0,0.0,19.0,,,
bear,buy_and_hold,1,1,1.0,-1381.026046504129,-1381.026046504129,-0.1381026046504129,-0.1381026046504129,0.14679258871624706,0.14679258871624706,15999.0,,18104.51331652692,15656.735960204396
sideways,fixed_4h,1,1,1.0,-21.04175553340512,-21.04175553340512,-0.002104175553340526,-0.002104175553340526,0.002104175553340526,0.002104175553340526,48.0,1.0,,
sideways,fixed_1d,1,1,1.0,14.144943249688874,14.144943249688874,0.0014144943249689845,0.0014144943249689845,0.0,0.0,180.0,1.0,,
sideways,adaptive_fast_4h,1,1,1.0,-21.04175553340512,-21.04175553340512,-0.002104175553340526,-0.002104175553340526,0.002104175553340526,0.002104175553340526,48.0,1.0,,
sideways,adaptive_balanced_1d,1,1,1.0,14.144943249688874,14.144943249688874,0.0014144943249689845,0.0014144943249689845,0.0,0.0,180.0,1.0,,
sideways,adaptive_patient_1d,1,1,1.0,14.144943249688874,14.144943249688874,0.0014144943249689845,0.0014144943249689845,0.0,0.0,180.0,1.0,,
sideways,buy_and_hold,1,1,1.0,-491.8522237526578,-491.8522237526578,-0.04918522237526578,-0.04918522237526578,0.06317737955650382,0.06317737955650382,15999.0,,29194.382285581716,27843.113809385046
high_volatility,fixed_4h,11,3,0.2727272727272727,-14.309486120077917,26.227498429467985,-0.015707117439800022,0.007888898848488868,0.01645145389890401,0.0,8.0,1.0,,
high_volatility,fixed_1d,11,4,0.36363636363636365,-21.372126833792933,25.932058643332173,-0.02336060605845902,0.010413231107361698,0.02336060605845902,0.0,8.0,1.0,,
high_volatility,adaptive_fast_4h,11,3,0.2727272727272727,-8.810755996797655,26.05165131414636,-0.009707855700868628,0.007835864168935114,0.010816238121936439,0.0,8.0,1.0,,
high_volatility,adaptive_balanced_1d,11,5,0.45454545454545453,-9.677691602735706,8.518284031262896,-0.010655319812688191,0.004235886487891083,0.01169627851994215,0.00611368144170139,8.0,1.0,,
high_volatility,adaptive_patient_1d,11,4,0.36363636363636365,-14.11593751776207,25.932058643332173,-0.015496814532332537,0.010413231107361698,0.01615379932038352,0.0,8.0,1.0,,
high_volatility,buy_and_hold,1,1,1.0,-362.5724278366225,-362.5724278366225,-0.036257242783662255,-0.036257242783662255,0.12145095431416857,0.12145095431416857,15999.0,,34996.966118640266,33829.56382312918
regime_switching,fixed_4h,5,0,0.0,-12.30165769080513,,-0.0061660622040384805,0.0,0.00955012157540198,0.0,8.0,,,
regime_switching,fixed_1d,5,0,0.0,-12.30165769080513,,-0.0061660622040384805,0.0,0.00955012157540198,0.0,8.0,,,
regime_switching,adaptive_fast_4h,5,0,0.0,-12.30165769080513,,-0.0061660622040384805,0.0,0.00955012157540198,0.0,8.0,,,
regime_switching,adaptive_balanced_1d,5,0,0.0,-12.30165769080513,,-0.0061660622040384805,0.0,0.00955012157540198,0.0,8.0,,,
regime_switching,adaptive_patient_1d,5,0,0.0,-12.30165769080513,,-0.0061660622040384805,0.0,0.00955012157540198,0.0,8.0,,,
regime_switching,buy_and_hold,1,1,1.0,1065.0896814056855,1065.0896814056855,0.10650896814056855,0.10650896814056855,0.01485761628416468,0.01485761628416468,15999.0,,26620.259131281276,29532.754214469307
